DATE,A229RX0
2003-09-01,35605.0
2003-10-01,35711.0
2003-11-01,35899.0
2003-12-01,35903.0
2004-01-01,35860.0
2004-02-01,35901.0
2004-03-01,36020.0
2004-04-01,36117.0
2004-05-01,36273.0
2004-06-01,36273.0
2004-07-01,36332.0
2004-08-01,36422.0
2004-09-01,36417.0
2004-10-01,36407.0
2004-11-01,36276.0
2004-12-01,37591.0
2005-01-01,36199.0
2005-02-01,36199.0
2005-03-01,36312.0
2005-04-01,36403.0
2005-05-01,36537.0
2005-06-01,36591.0
2005-07-01,36609.0
2005-08-01,36636.0
2005-09-01,36465.0
2005-10-01,36617.0
2005-11-01,36817.0
2005-12-01,36918.0
2006-01-01,37297.0
2006-02-01,37454.0
2006-03-01,37576.0
2006-04-01,37530.0
2006-05-01,37475.0
2006-06-01,37496.0
2006-07-01,37457.0
2006-08-01,37401.0
2006-09-01,37576.0
2006-10-01,37723.0
2006-11-01,37850.0
2006-12-01,38000.0
2007-01-01,37962.0
2007-02-01,38055.0
2007-03-01,38145.0
2007-04-01,38167.0
2007-05-01,38156.0
2007-06-01,38101.0
2007-07-01,38107.0
2007-08-01,38092.0
2007-09-01,38127.0
2007-10-01,38083.0
2007-11-01,38015.0
2007-12-01,38118.0
2008-01-01,38095.0
2008-02-01,38049.0
2008-03-01,38015.0
2008-04-01,37841.0
2008-05-01,39653.0
2008-06-01,38619.0
2008-07-01,37992.0
2008-08-01,37739.0
2008-09-01,37789.0
2008-10-01,38037.0
2008-11-01,38328.0
2008-12-01,38111.0
2009-01-01,38290.0
2009-02-01,37875.0
2009-03-01,37833.0
2009-04-01,38025.0
2009-05-01,38541.0
2009-06-01,37809.0
2009-07-01,37616.0
2009-08-01,37515.0
2009-09-01,37596.0
2009-10-01,37453.0
2009-11-01,37533.0
2009-12-01,37699.0
2010-01-01,37721.0
2010-02-01,37732.0
2010-03-01,37859.0
2010-04-01,38151.0
2010-05-01,38412.0
2010-06-01,38409.0
2010-07-01,38433.0
2010-08-01,38529.0
2010-09-01,38499.0
2010-10-01,38474.0
2010-11-01,38481.0
2010-12-01,38680.0
2011-01-01,38831.0
2011-02-01,38915.0
2011-03-01,38784.0
2011-04-01,38690.0
2011-05-01,38608.0
2011-06-01,38725.0
2011-07-01,38828.0
2011-08-01,38773.0
2011-09-01,38691.0
2011-10-01,38705.0
2011-11-01,38666.0
2011-12-01,39008.0
2012-01-01,39253.0
2012-02-01,39466.0
2012-03-01,39590.0
2012-04-01,39744.0
2012-05-01,39731.0
2012-06-01,39681.0
2012-07-01,39380.0
2012-08-01,39248.0
2012-09-01,39501.0
2012-10-01,39743.0
2012-11-01,40238.0
2012-12-01,41192.0
2013-01-01,38789.0
2013-02-01,38663.0
2013-03-01,38760.0
2013-04-01,38855.0
2013-05-01,39019.0
2013-06-01,39004.0
2013-07-01,38942.0
2013-08-01,39003.0
2013-09-01,39137.0
2013-10-01,38995.0
2013-11-01,39067.0
2013-12-01,39125.0
2014-01-01,39292.0
2014-02-01,39478.0
2014-03-01,39672.0
2014-04-01,39806.0
2014-05-01,39925.0
2014-06-01,40062.0
2014-07-01,40151.0
2014-08-01,40311.0
2014-09-01,40413.0
2014-10-01,40559.0
2014-11-01,40743.0
2014-12-01,40991.0
2015-01-01,41199.0
2015-02-01,41324.0
2015-03-01,41182.0
2015-04-01,41248.0
2015-05-01,41290.0
2015-06-01,41288.0
2015-07-01,41355.0
2015-08-01,41420.0
2015-09-01,41504.0
2015-10-01,41560.0
2015-11-01,41526.0
2015-12-01,41699.0
2016-01-01,41827.0
2016-02-01,41850.0
2016-03-01,41829.0
2016-04-01,41727.0
2016-05-01,41680.0
2016-06-01,41672.0
2016-07-01,41784.0
2016-08-01,41791.0
2016-09-01,41852.0
2016-10-01,41884.0
2016-11-01,41952.0
2016-12-01,42013.0
2017-01-01,42182.0
2017-02-01,42274.0
2017-03-01,42428.0
2017-04-01,42481.0
2017-05-01,42742.0
2017-06-01,42724.0
2017-07-01,42809.0
2017-08-01,42806.0
2017-09-01,42834.0
2017-10-01,42895.0
2017-11-01,42907.0
2017-12-01,42950.0
2018-01-01,43217.0
2018-02-01,43277.0
2018-03-01,43392.0
2018-04-01,43476.0
2018-05-01,43591.0
2018-06-01,43733.0
2018-07-01,43909.0
2018-08-01,44053.0
2018-09-01,44031.0
2018-10-01,44150.0
2018-11-01,44272.0
2018-12-01,44814.0
2019-01-01,44854.0
2019-02-01,44974.0
2019-03-01,44985.0
2019-04-01,44870.0
2019-05-01,44860.0
2019-06-01,44920.0
2019-07-01,44991.0
2019-08-01,45234.0
